Tanggal,Kode Saham,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi
2014-12-22,ACRO,77,70,71,1,3.437.100,252.257.100,274
2014-12-22,ACST,95,92,92,3,1.100.500,103.015.300,147
2014-12-22,ADCP,50,50,50,= 0,43.400,2.170.000,25
2014-12-22,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2014-12-23,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2014-12-23,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2014-12-23,ABBA,29,29,29,1,1.897.400,55.024.600,32
2014-12-23,ABDA,0,0,3.800,= 0,0,0,0
2014-12-23,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2014-12-23,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2014-12-23,ACRO,77,70,71,1,3.437.100,252.257.100,274
2014-12-23,ACST,95,92,92,3,1.100.500,103.015.300,147
2014-12-23,ADCP,50,50,50,= 0,43.400,2.170.000,25
2014-12-23,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2014-12-24,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2014-12-24,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2014-12-24,ABBA,29,29,29,1,1.897.400,55.024.600,32
2014-12-24,ABDA,0,0,3.800,= 0,0,0,0
2014-12-24,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2014-12-24,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2014-12-24,ACRO,77,70,71,1,3.437.100,252.257.100,274
2014-12-24,ACST,95,92,92,3,1.100.500,103.015.300,147
2014-12-24,ADCP,50,50,50,= 0,43.400,2.170.000,25
2014-12-24,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2014-12-25,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2014-12-25,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2014-12-25,ABBA,29,29,29,1,1.897.400,55.024.600,32
2014-12-25,ABDA,0,0,3.800,= 0,0,0,0
2014-12-25,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2014-12-25,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2014-12-25,ACRO,77,70,71,1,3.437.100,252.257.100,274
2014-12-25,ACST,95,92,92,3,1.100.500,103.015.300,147
2014-12-25,ADCP,50,50,50,= 0,43.400,2.170.000,25
2014-12-25,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2014-12-26,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2014-12-26,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2014-12-26,ABBA,29,29,29,1,1.897.400,55.024.600,32
2014-12-26,ABDA,0,0,3.800,= 0,0,0,0
2014-12-26,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2014-12-26,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2014-12-26,ACRO,77,70,71,1,3.437.100,252.257.100,274
2014-12-26,ACST,95,92,92,3,1.100.500,103.015.300,147
2014-12-26,ADCP,50,50,50,= 0,43.400,2.170.000,25
2014-12-26,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2014-12-27,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2014-12-27,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2014-12-27,ABBA,29,29,29,1,1.897.400,55.024.600,32
2014-12-27,ABDA,0,0,3.800,= 0,0,0,0
2014-12-27,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2014-12-27,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2014-12-27,ACRO,77,70,71,1,3.437.100,252.257.100,274
2014-12-27,ACST,95,92,92,3,1.100.500,103.015.300,147
2014-12-27,ADCP,50,50,50,= 0,43.400,2.170.000,25
2014-12-27,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2014-12-28,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2014-12-28,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2014-12-28,ABBA,29,29,29,1,1.897.400,55.024.600,32
2014-12-28,ABDA,0,0,3.800,= 0,0,0,0
2014-12-28,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2014-12-28,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2014-12-28,ACRO,77,70,71,1,3.437.100,252.257.100,274
2014-12-28,ACST,95,92,92,3,1.100.500,103.015.300,147
2014-12-28,ADCP,50,50,50,= 0,43.400,2.170.000,25
2014-12-28,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2014-12-29,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2014-12-29,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2014-12-29,ABBA,29,29,29,1,1.897.400,55.024.600,32
2014-12-29,ABDA,0,0,3.800,= 0,0,0,0
2014-12-29,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2014-12-29,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2014-12-29,ACRO,77,70,71,1,3.437.100,252.257.100,274
2014-12-29,ACST,95,92,92,3,1.100.500,103.015.300,147
2014-12-29,ADCP,50,50,50,= 0,43.400,2.170.000,25
2014-12-29,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2014-12-30,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2014-12-30,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2014-12-30,ABBA,29,29,29,1,1.897.400,55.024.600,32
2014-12-30,ABDA,0,0,3.800,= 0,0,0,0
2014-12-30,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2014-12-30,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2014-12-30,ACRO,77,70,71,1,3.437.100,252.257.100,274
2014-12-30,ACST,95,92,92,3,1.100.500,103.015.300,147
2014-12-30,ADCP,50,50,50,= 0,43.400,2.170.000,25
2014-12-30,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2014-12-31,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2014-12-31,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2014-12-31,ABBA,29,29,29,1,1.897.400,55.024.600,32
2014-12-31,ABDA,0,0,3.800,= 0,0,0,0
2014-12-31,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2014-12-31,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2014-12-31,ACRO,77,70,71,1,3.437.100,252.257.100,274
2014-12-31,ACST,95,92,92,3,1.100.500,103.015.300,147
2014-12-31,ADCP,50,50,50,= 0,43.400,2.170.000,25
2014-12-31,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2015-01-01,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2015-01-01,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2015-01-01,ABBA,29,29,29,1,1.897.400,55.024.600,32
2015-01-01,ABDA,0,0,3.800,= 0,0,0,0
2015-01-01,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2015-01-01,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2015-01-01,ACRO,77,70,71,1,3.437.100,252.257.100,274
2015-01-01,ACST,95,92,92,3,1.100.500,103.015.300,147
2015-01-01,ADCP,50,50,50,= 0,43.400,2.170.000,25
2015-01-01,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2015-01-02,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2015-01-02,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2015-01-02,ABBA,29,29,29,1,1.897.400,55.024.600,32
2015-01-02,ABDA,0,0,3.800,= 0,0,0,0
2015-01-02,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2015-01-02,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2015-01-02,ACRO,77,70,71,1,3.437.100,252.257.100,274
2015-01-02,ACST,95,92,92,3,1.100.500,103.015.300,147
2015-01-02,ADCP,50,50,50,= 0,43.400,2.170.000,25
2015-01-02,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2015-01-03,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2015-01-03,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2015-01-03,ABBA,29,29,29,1,1.897.400,55.024.600,32
2015-01-03,ABDA,0,0,3.800,= 0,0,0,0
2015-01-03,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2015-01-03,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2015-01-03,ACRO,77,70,71,1,3.437.100,252.257.100,274
2015-01-03,ACST,95,92,92,3,1.100.500,103.015.300,147
2015-01-03,ADCP,50,50,50,= 0,43.400,2.170.000,25
2015-01-03,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2015-01-04,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2015-01-04,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2015-01-04,ABBA,29,29,29,1,1.897.400,55.024.600,32
2015-01-04,ABDA,0,0,3.800,= 0,0,0,0
2015-01-04,ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
2015-01-04,ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
2015-01-04,ACRO,77,70,71,1,3.437.100,252.257.100,274
2015-01-04,ACST,95,92,92,3,1.100.500,103.015.300,147
2015-01-04,ADCP,50,50,50,= 0,43.400,2.170.000,25
2015-01-04,ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
2015-01-05,AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
2015-01-05,AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
2015-01-05,ABBA,29,29,29,1,1.897.400,55.024.600,32
2015-01-05,ABDA,0,0,3.800,= 0,0,0,0
